,B__Prev,B__Age,B__Height,B__Weight,Last_round,Max_round,R__Prev,R__Age,R__Height,R__Weight,Streak,TIPClinch Time,TIPMisc. Ground Control Time,TIPMount Control Time,TIPDistance Time,TIPGround Control Time,TIPGuard Control Time,TIPGround Time,TIPBack Control Time,TIPSide Control Time,TIPControl Time,StrikesPunchesLanded,StrikesDistance Body PunchesLanded,TIPHalf Guard Control Time,StrikesLeg Total Strikes,StrikesClinch Leg Strikes,StrikesGround Significant Punches,StrikesGround Leg Strikes,GrapplingSubmissions,StrikesLegs Significant Strikes,StrikesHead Significant Strikes,StrikesDistance Body Punches,StrikesDistance Body Kicks,StrikesPunches,StrikesBody Significant Strikes,StrikesHead Total Strikes,StrikesSignificant Strikes,winner,B_HomeTown,B_Location,R_HomeTown,R_Location,B_name,R_name,B_W_Category,R_W_Category
590,2,29.0,175.0,70.0,3,3,2,29.0,175.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148338870431893,2.066666666666667,0.0,0.0,0.0,0.0,0.0,0.17716535433070865,0.0,103.02635617175932,0.0,0.0,0.0,2.5054106436243244,0.0,4.665979181627749,3,481,197,350,299,David Michaud,Olivier Aubin-Mercier,Lightweight,Lightweight
591,1,35.0,170.0,56.0,3,3,0,41.0,170.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,397,111,200,242,Valerie Letourneau,Jessica Rakoczy,Flyweight,
592,1,42.0,177.0,77.0,3,3,2,37.0,185.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,4.68,0.0,0.0,3,110,284,551,299,Chris Clements,Nordine Taleb,Welterweight,Welterweight
593,0,31.0,182.0,70.0,1,3,1,33.0,172.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,606,253,198,299,Shane Campbell,John Makdessi,Lightweight,Lightweight
594,1,29.0,182.0,77.0,3,3,2,32.0,177.0,77.0,0.0,0.9369355604649724,0.0,0.0,4.027067669172932,1.947368421052632,0.0,4.622222222222222,0.0,0.0,0.847935107749233,0.9552571322482828,0.0,0.0,0.0,0.0,2.6663722826086955,0.0,0.0,0.0,87.83237133237135,0.0,0.0,8.692459098459507,1.2911952795920802,0.0,7.306355605726675,3,394,198,85,86,Bryan Barberena,Chad Laprise,Welterweight,Welterweight
595,1,33.0,165.0,61.0,2,3,2,34.0,167.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5310559006211181,34.42001788606096,0.0,0.0,0.0,0.0,0.0,122.52437275985662,3,683,532,381,389,Sarah Kaufman,Alexis Davis,Bantamweight,Flyweight
596,1,30.0,157.0,52.0,3,3,1,33.0,162.0,52.0,0.0,0.3238095238095238,0.0,1.6896551724137931,0.2621359223300971,0.625,0.0,4.461538461538462,0.9,0.7142857142857143,10.055555555555557,5.2727272727272725,0.0,0.9411764705882352,0.0,0.0,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357142857142857,3,160,157,32,493,Aisling Daly,Randa Markos,,
597,3,38.0,185.0,93.0,3,3,0,40.0,185.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,591,179,328,214,Fabio Maldonado,Rampage Jackson,,
598,3,36.0,172.0,65.0,1,5,1,33.0,167.0,65.0,0.0,0.0,25.015873015873016,0.2581569876521663,0.0,0.0,0.0,0.0,0.16417910447761194,0.0,2.4978162423786263,1.1237069616430082,0.0,0.0,0.0,0.0,0.0,0.0,0.06546644844517184,0.0,37.835302337398375,0.0,0.0,0.0,0.0,0.0,15.789287542913554,3,114,98,202,374,Ricardo Lamas,Chad Mendes,Featherweight,Featherweight
599,3,33.0,175.0,70.0,1,3,2,29.0,175.0,70.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555555555555555,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.89784946236557,0.0,0.0,0.0,8.140363636363636,0.0,5.600053232675184,3,106,381,273,104,Diego Ferreira,Dustin Poirier,Lightweight,Lightweight
